-------- 1 - Atualizações
NATUREZA,EFETIVO-BM / EGSYS,DATA-ATUALIZAÇÃO,DATA-ATUALIZAÇÃO-EGSYS,OBSERVAÇÃO
B10 - INCÊNDIO FLORESTAL,BM,21/02/24,2024-02-21 08:22:15.252,
R1 - INCIDENTE EM MEIO LÍQUIDO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
R2 - CHOQUE ELÉTRICO-RAIO,BM CEZAR,29/02/2024,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
R3 - INCONSCIENCIA-DESMAIO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
R4 - OVACE BEBE+ADULTO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
R5 - PCR,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C1 - AVC-DERRAME,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C2 - ALERGIA-REAÇÃO MEDICAMENT,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C3 - CONVULSÕES - EPILEPSIA,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C4 - DIABETES,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C5 - DOR ABDOMINAL,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C6 - DOR DE CABEÇA,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C7 - DOR NAS COSTAS,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C8 - DOR NO PEITO - PROBLEMAS C,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
